team_abbreviation_home,team_abbreviation_away,lambda_h,actual_home_pts,home_error,lambda_a,actual_away_pts,away_error,home_win
CHA,MIA,104.14189,94.0,-10.141891479492188,108.3813,98.0,-10.381301879882812,0
IND,POR,109.018265,121.0,11.981735229492188,108.60386,114.0,5.396141052246094,1
MEM,DET,115.84969,131.0,15.150306701660156,102.05469,111.0,8.9453125,1
DAL,NYK,112.44295,129.0,16.557052612304688,109.76747,114.0,4.2325286865234375,1
NOP,TOR,110.39279,93.0,-17.392791748046875,109.8213,119.0,9.178703308105469,0
UTA,DEN,112.774895,103.0,-9.774894714355469,112.38174,122.0,9.618263244628906,0
MIN,LAC,106.9452,93.0,-13.945198059082031,108.05214,92.0,-16.052139282226562,1
ATL,CLE,115.627556,117.0,1.3724441528320312,116.065994,101.0,-15.065994262695312,1
DET,PHI,106.478745,96.0,-10.478744506835938,109.27448,111.0,1.7255172729492188,0
MEM,IND,118.60207,136.0,17.397926330566406,106.62314,121.0,14.376861572265623,1
BKN,ORL,108.39567,92.0,-16.395668029785156,103.35033,100.0,-3.350326538085937,0
NYK,NOP,110.87142,118.0,7.128578186035156,104.13519,85.0,-19.13519287109375,1
DEN,GSW,113.89834,119.0,5.101661682128906,108.8603,115.0,6.139701843261719,1
NYK,ORL,106.43915,121.0,14.56085205078125,104.36052,106.0,1.6394805908203125,1
LAC,POR,112.26519,127.0,14.73480987548828,105.32674,105.0,-0.3267364501953125,1
TOR,IND,116.525826,122.0,5.474174499511719,106.88086,111.0,4.119140625,1
MIA,LAL,109.25807,134.0,24.741928100585938,108.04312,93.0,-15.043121337890623,1
LAC,MIN,111.81407,80.0,-31.81407165527344,106.32902,108.0,1.6709823608398438,0
BKN,IND,116.84542,99.0,-17.845420837402344,110.69535,90.0,-20.695350646972656,1
WAS,DAL,111.621864,101.0,-10.621864318847656,125.362816,137.0,11.637184143066406,0
NYK,CHA,110.92874,125.0,14.071258544921877,103.34195,101.0,-2.341949462890625,1
MEM,SAC,115.15837,115.0,-0.1583709716796875,108.83834,110.0,1.1616592407226562,1
CLE,DEN,110.812386,126.0,15.187614440917969,110.470245,114.0,3.529754638671875,1
NOP,PHX,110.85841,126.0,15.141586303710938,110.90489,124.0,13.095108032226562,1
SAS,CHI,114.22592,124.0,9.774078369140623,109.56802,139.0,29.43197631835937,0
BOS,MIL,114.6801,111.0,-3.680099487304688,110.44945,105.0,-5.4494476318359375,1
PHI,ORL,102.05979,102.0,-0.0597915649414062,101.42107,94.0,-7.421066284179687,1
SAS,SAC,113.974014,113.0,-0.9740142822265624,112.99592,140.0,27.00408172607422,0
ATL,LAL,116.38006,134.0,17.61994171142578,115.9772,132.0,16.022796630859375,1
TOR,DAL,111.677345,118.0,6.322654724121094,110.083595,125.0,14.916404724121094,0
MIA,PHX,110.97726,121.0,10.022743225097656,105.07106,111.0,5.9289398193359375,1
